grdid,all_ihs_dist_km_sog_gt01,all_ihs_dist_km_sog_gt10,boem_ihs_dist_km_sog_gt01,boem_ihs_dist_km_sog_gt10
2755,0,0,0,0
2756,0,0,0,0
2757,0,0,0,0
2758,0,0,0,0
2923,0,0,0,0
2924,0,0,0,0
2925,0,0,0,0
2926,0,0,0,0
2927,0,0,0,0
2928,0,0,0,0
2929,0,0,0,0
2930,0,0,0,0
2931,0,0,0,0
2932,0,0,0,0
3094,20942.425999999996,20234.652,3380.848,3238.880999999999
3095,14150.972999999996,13720.853000000001,2281.1559999999995,2188.001999999999
3096,6331.339000000001,6145.014000000001,985.4320000000002,931.218
3097,1779.2190000000005,1668.0390000000002,389.11400000000003,321.2740000000001
3098,753.5570000000002,659.178,278.078,199.24099999999999
3099,786.132,716.793,221.451,167.64299999999997
3100,964.7029999999999,848.414,310.168,231.11200000000002
3101,1403.5700000000002,1246.93,428.2410000000001,332.6339999999999
3102,1789.8749999999998,1636.5359999999991,474.12300000000005,412.52799999999996
3103,2515.7019999999998,2324.9230000000007,566.3560000000001,507.425
3104,3263.4870000000005,3086.3060000000005,617.4630000000001,539.591
3105,4499.185,4230.51,913.2469999999998,812.0139999999999
3106,5196.150999999999,4873.784,1006.425,885.6929999999996
3266,15824.448000000006,15177.238000000003,2498.2170000000006,2396.434
3267,9412.493999999999,9002.416999999998,1375.835,1302.3019999999997
3268,4382.521,4153.118,462.65100000000007,408.281
3269,1340.1970000000006,1153.0680000000004,155.779,134.662
3270,812.9430000000002,766.7600000000001,167.60499999999996,144.524
3271,822.966,762.0330000000001,178.35,139.912
3272,925.3469999999999,858.173,285.50699999999995,235.613
3273,1626.1310000000008,1509.488,443.33099999999985,368.514
3274,1975.6680000000001,1772.3689999999995,560.7099999999999,465.097
3275,2582.903,2330.7430000000004,579.8180000000001,472.34899999999993
3276,3587.6280000000006,3311.421999999999,780.9679999999998,665.478
3277,5790.0120000000015,5471.186000000001,1073.592,939.392
3278,8202.519,7680.087999999998,1423.2120000000004,1214.9229999999998
3279,9881.795000000002,9245.532,2064.7129999999997,1833.0899999999997
3280,10809.642999999998,10147.236999999997,2197.246,2016.2560000000003
3438,10153.271000000002,9704.181000000002,1553.652,1456.315
3439,4591.840000000002,4356.416000000002,830.4489999999998,770.7379999999998
3440,985.163,958.924,164.042,161.088
3441,1218.0429999999994,1071.671,111.71199999999999,99.582
3442,2320.2770000000005,2179.69,211.519,149.24200000000002
3443,2162.1200000000003,1873.8680000000004,156.54700000000003,121.811
3444,1075.9560000000004,1027.394,151.842,138.83100000000002
3445,1501.5690000000002,1439.0490000000002,314.77900000000005,275.443
3446,1940.9109999999998,1876.3419999999999,369.479,328.537
3447,2979.4470000000006,2892.0660000000003,411.68800000000005,394.31899999999996
3448,3797.3149999999996,3679.6320000000005,523.506,499.374
3449,6066.616999999999,5853.396999999999,918.0290000000002,870.4820000000002
3450,9283.902999999998,8893.393999999998,1133.724,1022.665
3451,14812.888000000003,14060.965999999999,1753.6109999999996,1538.1770000000001
3452,28469.325999999997,26921.399,3388.9220000000014,2988.7680000000005
3453,45936.784,42794.221000000005,5411.050000000002,4486.207000000001
3454,49421.154000000024,45783.30200000001,6026.443999999999,4815.335
3610,6917.412999999999,6605.492000000001,1017.3000000000001,965.262
3611,2802.7910000000006,2582.4469999999997,397.3190000000001,353.62600000000015
3612,926.6319999999998,904.6139999999999,43.329,41.102
3613,651.8050000000001,633.278,158.93200000000002,158.532
3614,503.061,469.953,89.83399999999999,85.118
3615,1305.878,1135.3519999999996,107.535,91.945
3616,2089.094,1912.8549999999998,358.65200000000004,325.46799999999996
3617,3261.881,2953.655,290.65399999999994,244.18499999999997
3618,2502.6740000000004,2348.1210000000005,304.52699999999993,275.9029999999999
3619,2440.1700000000005,2380.4489999999996,356.97299999999996,323.851
3620,3759.917000000001,3674.7180000000008,469.8349999999999,444.7939999999999
3621,5418.8510000000015,5201.54,760.1240000000001,701
3622,7299.2249999999995,7036.8769999999995,920.11,849.3080000000001
3623,11689.526999999995,11147.455999999996,1024.5800000000002,886.773
3624,20394.54,19380.394000000004,1901.7799999999993,1611.2280000000005
3625,36000.534999999996,33495.458999999995,3104.4790000000003,2515.890000000001
3626,44567.28899999998,39370.73799999999,4957.176000000001,3418.4310000000014
3627,35320.094,29899.799,5190.356000000001,3371.945000000001
3628,23942.883999999995,19529.087999999996,3200.067000000001,1624.6090000000004
3781,7533.485999999998,7263.044999999998,1020.0810000000001,993.3500000000003
3782,5156.503,4937.474,775.5319999999998,746.6510000000001
3783,1522.4679999999998,1394.3809999999996,251.26499999999996,225.27599999999995
3784,478.988,454.0119999999999,60.024,60.024
3785,544.97,500.2719999999999,58.467,52.985
3786,1092.1879999999999,1040.3529999999998,71.145,57.992999999999995
3787,791.7180000000001,731.271,135.338,112.26700000000001
3788,1297.8499999999997,1235.777,365.558,348.76599999999996
3789,1554.7930000000001,1430.0080000000003,260.24300000000005,224.027
3790,2350.945,2144.0080000000003,334.4270000000001,315.98800000000006
3791,4519.117000000001,4257.260000000001,411.0699999999999,349.6349999999999
3792,4666.613,4369.767999999999,507.25199999999984,439.981
3793,5111.775,4918.967,572.58500000000015,510.82000000000016
3794,7128.395000000001,6844.6939999999995,841.5679999999998,734.7009999999999
3795,10722.319000000003,10285.577,963.3049999999998,835.0360000000001
3796,16732.483,15722.301999999998,1275.282,990.844
3797,21706.956000000002,20277.085999999996,1949.1109999999999,1539.2029999999997
3798,27993.057000000004,25462.955999999995,2571.4300000000003,1874.1860000000001
3799,25592.645000000004,22337.116999999995,2828.215,1745.7530000000006
3800,15036.348999999998,13228.273000000003,2353.2139999999995,1650.2689999999996
3801,9591.615000000002,8363.221,2367.068,1572.6530000000002
3802,3944.926999999999,3315.669,711.203,256.356
3953,6320.294999999999,6096.869,817.2230000000001,815.8740000000001
3954,4241.397999999999,4022.7969999999996,561.8760000000002,543.5550000000001
3955,1078.6040000000003,997.3090000000001,141.851,130.24200000000002
3956,351.021,324.53900000000004,50.706999999999994,50.706999999999994
3957,449.897,403.597,79.448,79.448
3958,610.9030000000002,545.416,85.086,85.086
3959,714.6470000000002,661.236,123.43800000000002,123.43800000000002
3960,1083.2350000000001,1029.6140000000003,147.575,147.575
3961,1515.2190000000003,1475.9130000000002,158.509,147.41899999999998
3962,1607.8030000000003,1540.3200000000002,358.19600000000014,332.67100000000005
3963,2269.545999999999,2168.169999999999,372.0060000000001,323.13700000000006
3964,3879.110000000001,3648.73,443.059,398.002
3965,6261.212,6083.359000000003,634.123,606.338
3966,8985.139,8469.989,699.4589999999998,601.3969999999999
3967,10439.626000000002,9874.018000000004,861.9219999999998,735.645
3968,12499.492999999997,11676.461999999996,970.0839999999997,725.9410000000001
3969,12724.187000000007,11713.022999999997,1002.554,653.292
3970,15378.714999999998,14393.889000000001,1471.4290000000003,1142.797
3971,21390.081000000002,19465.349999999995,2045.2599999999995,1431.4640000000002
3972,17019.65,14982.145999999995,1849.277,1122.694
3973,9656.896000000004,8693.844,1262.5330000000001,788.7209999999999
3974,8765.923,7885.72,1650.2410000000002,1177.5070000000003
3975,7911.23,6779.208000000001,2257.139,1464.048
3976,2124.8799999999997,1596.8110000000001,564.9979999999998,138.303
3980,8689.897999999997,7749.387999999999,8256.215999999999,7529.287000000001
3981,18451.803,17813.074000000004,17966.731,17555.045
3982,24859.242000000002,24519.082000000002,24377.267000000007,24286.682000000004
3983,25333.357000000007,24858.649000000005,24784.04,24695.429000000004
4125,5869.954000000001,5595.522,740.1190000000001,711.1010000000001
4126,3779.1370000000006,3580.9330000000014,452.96599999999995,439.53499999999997
4127,1029.436,943.8929999999998,102.692,98.827
4128,299.00299999999993,267.1979999999999,62.044999999999995,62.044999999999995
4129,232.63799999999998,215.137,49.331,49.331
4130,295.57800000000003,287.54699999999997,50.666999999999994,43.645
4131,449.963,443.396,45.927,45.232
4132,589.7569999999998,551.9960000000001,67.05600000000001,67.05600000000001
4133,885.5659999999999,824.5020000000001,112.2,110.339
4134,1305.2339999999992,1257.7359999999999,204.24799999999996,186.47499999999997
4135,2532.192,2456.4440000000004,330.439,301.43000000000006
4136,2985.8579999999993,2902.668999999999,361.123,315.269
4137,4484.609,4344.352999999998,606.1519999999999,595.8129999999999
4138,6773.285999999998,6451.084000000001,537.549,476.351
4139,10405.058,9708.8020000000015,846.1379999999999,711.2250000000001
4140,11426.548999999999,10541.144999999999,756.3500000000001,521.328
4141,8424.600999999999,7528.171000000003,699.145,409.15099999999995
4142,7300.27,6671.726999999998,825.9260000000002,529.544
4143,14723.937,13680.505,1510.6379999999995,1106.217
4144,17903.748000000003,16215.524000000001,1506.011,1006.1780000000001
4145,10558.523000000001,9585.372000000001,1162.475,775.9689999999999
4146,7776.986999999998,7027.385000000001,929.4359999999999,569.529
4147,4893.584999999998,4357.678999999999,823.9630000000001,486.2710000000001
4148,6154.727999999999,5526.813,1387.4540000000002,1050.9390000000003
4149,6896.729,6019.259000000001,1939.198,1370.525
4150,722.1909999999998,153.176,501.651,48.06700000000001
4154,8967.854000000001,8461.184000000001,8818.351999999999,8359.538
4155,2274.0460000000007,2055.561,2104.2690000000002,1970.8500000000001
4156,2079.892,1987.4389999999996,2019.7039999999997,1955.0439999999996
4157,2188.91,2123.8479999999995,2062.5439999999994,2060.0209999999997
4298,3881.7359999999994,3722.308999999999,511.40400000000005,499.36600000000004
4299,1107.218,1056.4720000000002,105.255,102.954
4300,246.47400000000002,244.54800000000003,50.936,50.153
4301,276.9839999999999,276.9839999999999,67.535,67.535
4302,279.94399999999996,270.89,39.563,39.563
4303,327.7319999999999,318.94199999999995,51.309999999999995,51.309999999999995
4304,394.78000000000003,374.565,71.34899999999999,67.392
4305,676.129,651.8370000000001,65.506,58.249
4306,1107.186,1080.2300000000002,150.588,129.91
4307,1660.548,1543.3029999999999,254.01100000000002,213.99200000000002
4308,2374.0249999999996,2286.161,297.341,262.289
4309,4197.5149999999985,4023.0019999999986,297.456,267.2
4310,6632.030999999999,6347.274000000002,422.53399999999993,382.3809999999999
4311,7064.271,6578.691,740.1619999999998,638.8180000000001
4312,6136.3420000000015,5614.691000000001,496.763,378.12800000000004
4313,5599.614,5130.491999999999,544.2600000000001,412.25500000000005
4314,8063.968999999999,7507.138000000002,679.8349999999999,451.96899999999994
4315,8868.194,8062.800999999999,875.4739999999998,592.486
4316,15340.800000000003,14085.788000000002,1359.3669999999995,896.1429999999999
4317,13494.841999999999,12223.915,986.959,621.018
4318,5918.947999999999,5414.564,640.1250000000001,410.0429999999999
4319,6130.869999999999,5451.089000000001,1066.8929999999998,683.4599999999999
4320,3123.882,2696.9230000000002,569.046,338.25899999999996
4321,4079.5859999999993,3702.0200000000013,657.1610000000002,474.421
4322,5075.201,4614.255000000001,942.153,702.4139999999996
4323,6693.343999999997,5981.456,1936.1800000000003,1516.0049999999999
4324,239.481,73.947,135.97,10.783
4325,112.65199999999999,39.583000000000006,36.142,0
4326,171.124,45.446,13.928999999999998,3.42
4327,436.17199999999997,287.5519999999999,149.54000000000002,69.236
4328,614.149,234.33299999999997,408.029,86.19300000000001
4329,362.462,119.447,170.548,21.273
4330,161.829,62.739000000000004,73.24499999999999,21.686
4331,168.82899999999998,53.14999999999999,105.61200000000001,26.057000000000002
4332,272.58000000000004,83.928,223.13900000000004,60.99199999999999
4333,401.736,66.458,346.29,51.503
4334,1350.8320000000003,450.67499999999995,610.12,93.27900000000001
4335,29357.7,29172.74,29126.004000000004,28969.414000000004
4336,1699.501,1537.3729999999998,1695.293,1533.1649999999997
4470,4033.521999999999,3905.9259999999995,567.6979999999999,548.6359999999999
4471,1351.2859999999998,1311.051,141.799,141.799
4472,260.373,249.482,35.239000000000004,35.239000000000004
4473,199.351,199.351,35.538000000000004,35.538000000000004
4474,235.97999999999996,235.97999999999996,45.62,45.62
4475,275.49100000000004,275.49100000000004,45.756,45.756
4476,350.246,350.246,39.631,39.631
4477,599.6449999999999,554.463,65.053,54.772999999999996
4478,938.2650000000001,901.148,140.82500000000002,119.63300000000001
4479,1334.7660000000005,1272.6600000000005,185.22199999999998,169.43099999999998
4480,2292.6700000000005,2175.287,228.142,206.02800000000005
4481,3689.322,3451.8069999999993,234.18699999999995,191.351
4482,4961.332000000001,4644.089000000001,318.863,246.03200000000004
4483,4672.642,4304.791,346.231,261.618
4484,4363.731999999999,4040.473,297.178,219.78599999999997
4485,3311.4620000000014,3070.0310000000018,352.5910000000002,277.718
4486,4195.347000000001,3945.8920000000016,680.19,573.367
4487,5303.158,4965.700999999998,446.3039999999999,293.23799999999994
