yr,risk_all_gt10,risk_boem_gt10,pct_boem_gt10,risk_all_gt01,risk_boem_gt01,pct_boem_gt01,risk_boem_gt10_wab,pct_risk_reduced_boem_gt10_wab,risk_boem_gt10_wan,pct_risk_reduced_boem_gt10_wan,risk_all_gt10_wab,pct_risk_reduced_all_gt10_wab,risk_all_gt10_wan,pct_risk_reduced_all_gt10_wan,risk_boem_gt01_wab,pct_risk_reduced_boem_gt01_wab,risk_boem_gt01_wan,pct_risk_reduced_boem_gt01_wan,risk_all_gt01_wab,pct_risk_reduced_all_gt01_wab,risk_all_gt01_wan,pct_risk_reduced_all_gt01_wan
2015,71621.45593321396,23153.356903473916,0.32327403292477197,92848.66814665234,38427.964526954005,0.41387739096330295,948.6914188647643,0.013245910830818717,21089.366245904646,0.29445598349145813,7842.041265189764,0.10949290492645614,66483.02836979646,0.9282557510669845,2516.0492717655143,0.0270983883989749,34976.83514745848,0.3767079899542917,11025.145514125703,0.11874317353385982,86016.36599215865,0.9264146455638735
2016,67877.79634741547,21519.015175096778,0.3170258366219949,85323.28389819674,33280.49181381727,0.39005169859057237,659.4169759854631,0.009714766999953899,19655.06166303868,0.2895654060782878,8194.076022639638,0.12071806192263985,63161.07242946536,0.9305115343785066,1827.3479629628127,0.02141675612419124,30286.968618718107,0.35496721686022925,10963.209073757287,0.1284902382195933,79185.66712392494,0.9280663320273177
2017,68494.48907803,21908.65733103146,0.3198601467933102,86236.27889021036,33857.61896965212,0.3926145632136694,720.9750698825956,0.010526030335977094,20144.86285371543,0.29410925061089344,7644.466094727803,0.11160702412159182,63855.53911912488,0.9322726540288466,2175.4140630142065,0.025226205154141475,31072.785233640112,0.36032149848672945,10343.146155203693,0.11993961576625795,80251.61253703479,0.9306015237415936
2018,79758.86890779033,25209.356597460835,0.3160696351725538,100325.63691658193,38668.29593461292,0.38542786393436573,450.35612697536453,0.005646470833181245,23115.711069689438,0.2898199458722721,9105.128635944217,0.11415819658213441,74306.66128430562,0.931641362294292,1520.0479818859021,0.015151142106875246,35309.262180205435,0.35194655389593127,11956.033996384474,0.1191722710549607,93214.53299434809,0.9291197729634496
