yr,ships_all_gt01,ships_boem_gt01,pct_boem_gt01,ships_all_gt10,ships_boem_gt10,pct_boem_gt10
2015,13986251.845572472,6709980.233442813,0.47975542751054806,10044383.87844555,3796285.1478636563,0.3779510215664081
2016,13306598.753794104,5825323.103912793,0.43777701662882273,9782151.798142001,3408484.8413926214,0.3484391687767533
2017,13568551.879924476,5721144.055968881,0.42164735828837213,9928376.555182397,3295441.104611963,0.33192144619976305
2018,15765679.652905822,6890671.25982523,0.4370678214659264,11516438.030955337,3970340.977102734,0.34475425182949365
Mean,20973217.010466963,9272880.1035143435,0.4421296026683264,15418442.808275655,5362064.002167329,0.347769490657598
