yr,risk_all_gt01,risk_boem_gt01,pct_boem_gt01,risk_all_gt10,risk_boem_gt10,pct_boem_gt10
2015,92848.66814665234,38427.964526954005,0.41387739096330295,71621.45593321396,23153.356903473916,0.32327403292477197
2016,85323.28389819674,33280.49181381727,0.39005169859057237,67877.79634741547,21519.015175096778,0.3170258366219949
2017,86236.27889021036,33857.61896965212,0.3926145632136694,68494.48907803,21908.65733103146,0.3198601467933102
2018,100325.63691658193,38668.29593461292,0.38542786393436573,79758.86890779033,25209.356597460835,0.3160696351725538
